# JMH version: 1.27
# VM version: JDK 11.0.9, OpenJDK 64-Bit Server VM, 11.0.9+10-jvmci-20.3-b06
# VM invoker: /home/user/Downloads/graalvm-ce-java11-20.3.0/bin/java
# VM options: -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCIProduct -XX:-UnlockExperimentalVMOptions -XX:ThreadPriorityPolicy=1
# JMH blackhole mode: full blackhole + dont-inline hint
Benchmark                       (arraySize)   Mode  Cnt         Score       Error  Units
LogAddExpBenchmark.math            10000000  thrpt   10         3.249 ±     0.020  ops/s
LogAddExpBenchmark.multik               100  thrpt   10    242923.921 ±   709.196  ops/s
LogAddExpBenchmark.multik              1000  thrpt   10     31229.810 ±    54.501  ops/s
LogAddExpBenchmark.multik             10000  thrpt   10      3218.238 ±     5.168  ops/s
LogAddExpBenchmark.multik            100000  thrpt   10       325.800 ±     0.566  ops/s
LogAddExpBenchmark.multik           1000000  thrpt   10        32.012 ±     0.110  ops/s
LogAddExpBenchmark.multik          10000000  thrpt   10         3.175 ±     0.006  ops/s
LogAddExpBenchmark.viktor               100  thrpt   10    687098.497 ±  3051.469  ops/s
LogAddExpBenchmark.viktor              1000  thrpt   10     85607.927 ±   300.621  ops/s
LogAddExpBenchmark.viktor             10000  thrpt   10      8700.907 ±    52.619  ops/s
LogAddExpBenchmark.viktor            100000  thrpt   10       870.094 ±     5.226  ops/s
LogAddExpBenchmark.viktor           1000000  thrpt   10        87.756 ±     0.297  ops/s
LogAddExpBenchmark.viktor          10000000  thrpt   10         8.784 ±     0.016  ops/s
LogBenchmark.fastMath                   100  thrpt   10    561746.641 ±  1737.519  ops/s
LogBenchmark.fastMath                  1000  thrpt   10     63106.400 ±   161.275  ops/s
LogBenchmark.fastMath                 10000  thrpt   10      5606.623 ±    28.115  ops/s
LogBenchmark.fastMath                100000  thrpt   10       534.190 ±     1.427  ops/s
LogBenchmark.fastMath               1000000  thrpt   10        54.831 ±     0.155  ops/s
LogBenchmark.fastMath              10000000  thrpt   10         5.482 ±     0.020  ops/s
LogBenchmark.kmath                      100  thrpt   10   1263316.300 ±  2469.598  ops/s
