# JMH version: 1.27
# VM version: JDK 15.0.1, Java HotSpot(TM) 64-Bit Server VM, 15.0.1+9-18
# VM invoker: /home/user/Downloads/jdk-15.0.1/bin/java
# VM options: <none>
# JMH blackhole mode: full blackhole + dont-inline hint
Benchmark                       (arraySize)   Mode  Cnt         Score       Error  Units
LogAddExpBenchmark.viktor             10000  thrpt   10      8741.610 ±    26.169  ops/s
LogAddExpBenchmark.viktor            100000  thrpt   10       869.305 ±     4.146  ops/s
LogAddExpBenchmark.viktor           1000000  thrpt   10        79.067 ±    11.136  ops/s
LogAddExpBenchmark.viktor          10000000  thrpt   10         8.684 ±     0.019  ops/s
LogBenchmark.fastMath                   100  thrpt   10    438136.410 ±  1231.272  ops/s
LogBenchmark.fastMath                  1000  thrpt   10     43059.737 ±   113.767  ops/s
LogBenchmark.fastMath                 10000  thrpt   10      4115.378 ±     5.633  ops/s
LogBenchmark.fastMath                100000  thrpt   10       433.712 ±     0.694  ops/s
LogBenchmark.fastMath               1000000  thrpt   10        39.977 ±     2.910  ops/s
LogBenchmark.fastMath              10000000  thrpt   10         4.269 ±     0.006  ops/s
LogBenchmark.kmath                      100  thrpt   10   1219963.576 ±  3220.114  ops/s
LogBenchmark.kmath                     1000  thrpt   10    120435.546 ±   425.322  ops/s
LogBenchmark.kmath                    10000  thrpt   10     12730.178 ±    33.636  ops/s
LogBenchmark.kmath                   100000  thrpt   10      1233.389 ±    35.479  ops/s
LogBenchmark.kmath                  1000000  thrpt   10       106.547 ±    19.906  ops/s
LogBenchmark.kmath                 10000000  thrpt   10        11.568 ±     0.036  ops/s
LogBenchmark.math                       100  thrpt   10   1268171.468 ±  1200.932  ops/s
LogBenchmark.math                      1000  thrpt   10    126388.619 ±   692.732  ops/s
LogBenchmark.math                     10000  thrpt   10     12756.561 ±    19.205  ops/s
LogBenchmark.math                    100000  thrpt   10      1252.822 ±     9.238  ops/s
LogBenchmark.math                   1000000  thrpt   10        99.130 ±    12.467  ops/s
LogBenchmark.math                  10000000  thrpt   10        12.210 ±     0.049  ops/s
LogBenchmark.multik                     100  thrpt   10    713657.235 ±   889.087  ops/s
LogBenchmark.multik                    1000  thrpt   10     89905.071 ±   104.081  ops/s
LogBenchmark.multik                   10000  thrpt   10      9226.334 ±     6.199  ops/s
LogBenchmark.multik                  100000  thrpt   10       923.277 ±     0.908  ops/s
LogBenchmark.multik                 1000000  thrpt   10        80.900 ±    12.220  ops/s
LogBenchmark.multik                10000000  thrpt   10         8.970 ±     0.021  ops/s
LogBenchmark.viktor                     100  thrpt   10   1857272.631 ±  2661.549  ops/s
LogBenchmark.viktor                    1000  thrpt   10    261139.993 ±   688.438  ops/s
LogBenchmark.viktor                   10000  thrpt   10     28012.358 ±    80.572  ops/s
LogBenchmark.viktor                  100000  thrpt   10      2797.440 ±     5.691  ops/s
LogBenchmark.viktor                 1000000  thrpt   10       199.973 ±    50.684  ops/s
LogBenchmark.viktor                10000000  thrpt   10        26.328 ±     0.094  ops/s
LogSumExpBenchmark.fastMath             100  thrpt   10   1045920.859 ±  1063.551  ops/s
LogSumExpBenchmark.fastMath            1000  thrpt   10    108599.305 ±   169.649  ops/s
LogSumExpBenchmark.fastMath           10000  thrpt   10     10881.454 ±    19.505  ops/s
LogSumExpBenchmark.fastMath          100000  thrpt   10      1079.086 ±    13.282  ops/s
LogSumExpBenchmark.fastMath         1000000  thrpt   10       107.941 ±     0.247  ops/s
LogSumExpBenchmark.fastMath        10000000  thrpt   10        10.706 ±     0.012  ops/s
LogSumExpBenchmark.math                 100  thrpt   10   1451650.319 ±  1670.502  ops/s
LogSumExpBenchmark.math                1000  thrpt   10    150720.447 ±   156.979  ops/s
LogSumExpBenchmark.math               10000  thrpt   10     15195.481 ±    19.619  ops/s
LogSumExpBenchmark.math              100000  thrpt   10      1502.635 ±    35.347  ops/s
LogSumExpBenchmark.math             1000000  thrpt   10       145.555 ±     0.218  ops/s
LogSumExpBenchmark.math            10000000  thrpt   10        14.345 ±     0.084  ops/s
LogSumExpBenchmark.multik               100  thrpt   10    599838.310 ±   801.640  ops/s
LogSumExpBenchmark.multik              1000  thrpt   10     60291.533 ±   153.055  ops/s
LogSumExpBenchmark.multik             10000  thrpt   10      6455.074 ±    25.840  ops/s
LogSumExpBenchmark.multik            100000  thrpt   10       654.515 ±     1.627  ops/s
LogSumExpBenchmark.multik           1000000  thrpt   10        60.195 ±     6.324  ops/s
LogSumExpBenchmark.multik          10000000  thrpt   10         6.374 ±     0.013  ops/s
LogSumExpBenchmark.viktor               100  thrpt   10   2434463.303 ±  3665.794  ops/s
LogSumExpBenchmark.viktor              1000  thrpt   10    311448.704 ±  1066.996  ops/s
LogSumExpBenchmark.viktor             10000  thrpt   10     32209.870 ±    40.190  ops/s
LogSumExpBenchmark.viktor            100000  thrpt   10      3216.719 ±     5.717  ops/s
LogSumExpBenchmark.viktor           1000000  thrpt   10       311.362 ±     0.681  ops/s
LogSumExpBenchmark.viktor          10000000  thrpt   10        29.549 ±     0.023  ops/s
MultiplicationBenchmark.kmath           100  thrpt   10  12978472.084 ± 74943.464  ops/s
MultiplicationBenchmark.kmath          1000  thrpt   10   1745425.504 ± 26598.715  ops/s
MultiplicationBenchmark.kmath         10000  thrpt   10    141829.855 ±   754.943  ops/s
MultiplicationBenchmark.kmath        100000  thrpt   10     13287.597 ±    86.922  ops/s
MultiplicationBenchmark.kmath       1000000  thrpt   10       355.762 ±    31.916  ops/s
MultiplicationBenchmark.kmath      10000000  thrpt   10        42.434 ±    19.601  ops/s
MultiplicationBenchmark.loop            100  thrpt   10  14359529.486 ± 58774.817  ops/s
MultiplicationBenchmark.loop           1000  thrpt   10   1863631.898 ±  2640.172  ops/s
MultiplicationBenchmark.loop          10000  thrpt   10    146110.742 ±   440.935  ops/s
MultiplicationBenchmark.loop         100000  thrpt   10     13518.778 ±    43.247  ops/s
MultiplicationBenchmark.loop        1000000  thrpt   10       318.861 ±     9.883  ops/s
MultiplicationBenchmark.loop       10000000  thrpt   10        42.716 ±    16.345  ops/s
MultiplicationBenchmark.multik          100  thrpt   10   3472943.633 ± 81738.863  ops/s
MultiplicationBenchmark.multik         1000  thrpt   10    453857.853 ±   782.159  ops/s
MultiplicationBenchmark.multik        10000  thrpt   10     49129.325 ±   107.554  ops/s
MultiplicationBenchmark.multik       100000  thrpt   10      4902.434 ±     6.008  ops/s
